Segment_ID,State,County,Road_Type,Functional_Class,AADT,Truck_Percent,Speed_Limit,Lane_Count,Shoulder_Width_ft,Pavement_Type,Pavement_Age_yrs,Roughness_IRI,Rutting_mm,Faulting_mm,Cracking_Percent,Structural_Capacity,Surface_Distress_Index,Maintenance_History,Last_Maintenance_Year,Climate_Zone,Precipitation_mm,Freezing_Days,PCI,Rehabilitation_Cost_USD,Years_Since_Last_Rehab
1,OH,Cuyahoga,Urban,Local,75971,6.53,70,5,6,Concrete,25,90.73,18.26,1.99,98.42,2.44,20.94,None,2013,Cold,841.47,99,18.12,356095.93,12
2,FL,Duval,Rural,Minor Arterial,1162,12.65,65,3,7,Concrete,7,253.1,15.96,3.08,1.99,4.41,97.01,Patch,2017,Tropical,1351.36,17,9.11,399887.37,8
3,NY,King,State Highway,Minor Arterial,35742,12.35,45,4,5,Asphalt,23,263.35,18.43,0.42,69.9,3.22,66.79,Resurface,2021,Tropical,262.5,46,25.11,1145137.64,4
4,OH,King,Rural,Local,20675,8.63,55,5,7,Asphalt,47,278.59,19.57,6.34,25.29,3.87,77.86,Resurface,2007,Cold,1443.11,30,28.49,1255666.62,18
5,TX,King,Rural,Principal Arterial,74997,13.71,55,5,9,Asphalt,37,116.32,0.21,2.49,4.05,4.59,77.61,Reconstruction,2023,Temperate,1150.46,98,64.72,1388979.49,2
6,GA,Fulton,Urban,Principal Arterial,18015,11.64,70,3,4,Composite,5,275.99,12.45,3.04,40.29,4.61,53.51,Reconstruction,2023,Cold,719.42,38,16.09,579414.9,2
7,NY,Harris,Rural,Minor Arterial,51057,11.84,35,3,6,Concrete,34,130.17,8.26,7.71,93.52,2.31,79.75,Reconstruction,1990,Cold,1666.38,37,93.03,510298.19,35
8,NY,Fulton,Urban,Principal Arterial,33591,19.78,25,2,3,Concrete,41,188.08,17.2,3.27,1.18,4.81,59.58,Resurface,2020,Tropical,722.09,78,55.44,153248.16,5
9,OH,Harris,Interstate,Local,10833,9.47,45,4,3,Concrete,0,62.63,5.04,2.42,58.79,1.1,31.45,Reconstruction,1990,Cold,1984.55,46,49.09,1039471.54,35
10,CA,Bexar,Interstate,Principal Arterial,8896,17.84,55,4,8,Asphalt,45,60.97,19.62,1.69,50.14,2.51,56.11,Resurface,2005,Continental,1669.47,69,43.47,945141.55,20
11,TX,Fulton,Urban,Minor Arterial,33972,16.41,35,3,11,Concrete,35,230.09,12.27,7.75,87.34,4.58,53.35,Resurface,2004,Continental,1474.36,7,56.66,194157.45,21
12,OH,Fulton,Interstate,Local,50733,16.36,65,5,11,Composite,11,161.12,15.87,1.3,8.4,2.1,82.35,Patch,2022,Tropical,310.43,103,2.24,511768.24,3
13,TX,Cuyahoga,State Highway,Principal Arterial,42800,18.26,55,3,11,Asphalt,37,114.07,1.71,4.54,68.15,2.09,98.17,Patch,2012,Temperate,1827.76,85,99.01,567958.17,13
14,TX,Cook,Rural,Collector,6347,15.97,35,5,7,Asphalt,10,97.6,3.67,5.07,68.01,2.21,41.1,Patch,2023,Temperate,1622.1,64,55.75,1105503,2
15,GA,Fulton,State Highway,Local,60063,22.59,25,5,5,Asphalt,11,217.49,15.17,6.87,66.91,3.45,76.34,Reconstruction,2006,Tropical,612.25,12,3.52,422087.83,19
16,NY,Cuyahoga,Rural,Local,3643,18.51,25,3,6,Asphalt,41,50.1,0.44,6.33,94.23,2.75,9.98,Resurface,2014,Temperate,906.05,54,59,333618.61,11
17,FL,Orange,Interstate,Collector,41785,15.94,55,1,2,Composite,49,251.47,16.34,8.11,82.31,3.91,77.68,Reconstruction,1995,Arid,683.54,87,43.71,98277.55,30
18,GA,Cook,State Highway,Collector,19681,21.6,55,4,8,Concrete,38,69.81,0.28,0.45,4.2,4.58,37.14,Resurface,2020,Continental,1971.95,84,2.4,419997.15,5
19,GA,Bexar,Interstate,Local,51026,17.12,70,5,9,Composite,6,97.87,13.14,2.96,47.11,3.7,3.94,Patch,1994,Arid,1737.55,108,92.44,1400891.4,31
20,TX,Fulton,Rural,Collector,16892,10.82,45,5,10,Concrete,10,146.56,7.3,2.8,39.8,1.82,36.32,Patch,2019,Arid,1874.41,42,1.06,1144774.47,6
